Publicador,Total de vendas
Syscom,0.27
Grand Prix Games,0.06
Gainax Network Systems,0.16999999999999998
fonfun,0.02
Jack of All Games,0.42000000000000004
Square Enix,144.79000000000016
Kamui,0.03
Shogakukan,0.44000000000000006
Sega,270.6799999999984
Activision Blizzard,0.48
Conspiracy Entertainment,0.8100000000000003
U.S. Gold,0.3400000000000001
MediaQuest,0.05
Technos Japan Corporation,0.02
Kool Kizz,0.04
Warp,0.07
Ghostlight,2.659999999999999
Sweets,0.05
Altron,0.07
Fox Interactive,7.379999999999999
CyberFront,0.27
Valve Software,3.2199999999999998
ChunSoft,4.0699999999999985
Scholastic Inc.,2.879999999999999
Game Arts,0.14
Vatical Entertainment,0.22000000000000003
Ascaron Entertainment,0.01
Media Entertainment,0.01
Intergrow,0.03
O3 Entertainment,0.21999999999999997
Xicat Interactive,0.16
Aruze Corp,1.1700000000000002
Tigervision,1.4300000000000002
SPS,0.12000000000000001
"mixi, Inc",0.86
Infogrames,16.16999999999999
Xing Entertainment,0.25
Media Factory,0.29000000000000004
Epoch,1.05
GungHo,3.149999999999998
WayForward Technologies,0.060000000000000005
CBS Electronics,0.31
Core Design Ltd.,0.29000000000000004
Illusion Softworks,0.7000000000000001
Sony Computer Entertainment Europe,23.880000000000003
JoWood Productions,1.5000000000000007
Imageworks,0.02
Maximum Family Games,0.03
Screenlife,0.9200000000000002
dramatic create,0.11
49Games,0.04
Crystal Dynamics,1.7200000000000004
Her Interactive,0.03
Level 5,12.16
Takara,3.44
DreamWorks Interactive,0.13
Kids Station,0.03
"Interworks Unlimited, Inc.",0.01
Alawar Entertainment,0.05
Disney Interactive Studios,118.51000000000026
PQube,4.279999999999989
inXile Entertainment,0.09
CPG Products,0.54
Electronic Arts Victor,0.43000000000000005
Revolution (Japan),0.02
Capcom,199.81
Vivendi Games,56.87999999999996
2D Boy,0.04
Mentor Interactive,1.06
Westwood Studios,1.55
Kokopeli Digital Studios,0.03
Number None,0.03
Brash Entertainment,1.2100000000000002
Compile,2.4499999999999997
id Software,0.02
Phenomedia,0.16
NetRevo,0.03
Valcon Games,0.42000000000000004
Dorart,0.03
Enterbrain,2.23
GSP,3.689999999999997
